"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14749","Clicking play again pauses the video","chromium","2026-05-20","passed","2026-05-20","Video Player","videoPlayer.spec.ts","",""
"","14612","Play button is visible and video is initially paused","chromium","2026-05-20","passed","2026-05-20","Video Player","videoPlayer.spec.ts","",""
"","14700","Delete uploaded video","chromium","2026-05-20","passed","2026-05-20","","uploadVideo.spec.ts","",""
"","14878","Clicking play button starts video playback","chromium","2026-05-20","passed","2026-05-20","Video Player","videoPlayer.spec.ts","",""
"","13615","Video player loads when opening a video asset","chromium","2026-05-20","passed","2026-05-20","Video Player","videoPlayer.spec.ts","",""
"","14672","Volume and fullscreen controls are visible","chromium","2026-05-20","passed","2026-05-20","Video Player","videoPlayer.spec.ts","",""
"","20136","Check uploading video","chromium","2026-05-20","passed","2026-05-20","","uploadVideo.spec.ts","",""
